YEAR,Actual Rainfall: JUN,Actual Rainfall: JUL,Actual Rainfall: AUG,Actual Rainfall: SEPT,Actual Rainfall: JUN-SEPT,Departure Percentage: JUN,Departure Percentage: JUL,Departure Percentage: AUG,Departure Percentage: SEP,Departure Percentage: JUN-SEPT
1961,213.2,353.5,207.5,141.5,915.7,27.1,62.5,20.2,-8.4,28.5
1962,92.3,256.8,227.2,208.2,784.4,-45.1,18.0,32.0,34.4,10.1
1963,145.5,192.5,240.3,111.1,689.4,-11.0,-15.1,36.5,-30.4,-5.0
1964,124.7,252.2,220.6,246.2,843.7,-24.3,12.3,25.3,52.3,16.1
1965,131.9,228.0,168.7,140.0,668.6,-19.1,0.2,-4.7,-12.0,-8.0
1966,112.6,234.1,138.5,192.0,677.3,-31.7,5.0,-20.6,20.8,-6.1
1967,154.2,281.1,156.0,115.8,707.1,-6.0,23.4,-11.2,-27.3,-2.7
1968,144.1,253.2,85.4,192.2,674.9,-11.6,15.4,-50.5,20.7,-5.5
1969,118.1,240.9,168.9,132.5,660.4,-25.6,10.1,-2.5,-16.4,-6.9
1970,164.6,193.4,266.0,149.5,773.6,2.7,-13.7,52.0,-6.0,7.7
1971,181.5,149.8,160.7,146.9,638.8,16.0,-32.4,-4.8,-5.3,-9.0
1972,147.8,181.5,92.6,151.3,573.3,-6.7,-19.4,-46.6,-2.7,-19.6
1973,154.5,191.0,226.2,114.5,686.2,0.9,-10.3,37.5,-25.3,0.4
1974,105.9,227.6,166.9,221.0,721.4,-33.2,2.4,-2.5,41.7,1.9
1975,204.4,245.5,225.9,246.4,922.2,28.6,9.4,31.0,59.4,29.8
1976,94.9,257.7,221.5,93.6,667.6,-41.8,12.4,24.6,-40.8,-8.3
1977,156.0,221.5,167.7,110.6,655.7,-2.5,-1.6,-3.9,-28.9,-8.3
1978,208.7,264.2,224.1,163.1,860.0,31.6,17.2,29.0,5.0,20.6
1979,148.5,157.3,122.6,208.7,637.1,-2.7,-21.4,-24.2,34.4,-4.9
1980,188.5,178.1,183.4,119.7,669.7,20.7,-12.1,10.0,-22.5,-1.5
1981,180.9,188.3,185.3,235.0,789.5,20.2,1.8,17.7,51.6,21.9
1982,146.9,174.1,150.4,124.8,596.2,-2.4,-9.1,-5.9,-18.9,-9.1
1983,152.5,206.7,294.6,256.6,910.4,0.6,6.0,83.4,67.3,37.8
1984,127.7,221.8,76.2,136.9,562.5,-15.8,13.8,-52.4,-10.9,-14.8
1985,168.0,149.5,146.3,99.0,562.8,10.7,-23.6,-8.6,-35.4,-14.8
1986,140.0,119.1,202.7,132.6,594.3,-7.3,-38.5,28.1,-13.1,-9.3
1987,131.0,107.3,192.8,110.7,541.9,-11.0,-47.6,19.4,-28.5,-18.9
1988,127.8,283.5,241.1,249.5,901.8,-13.1,39.2,48.5,60.7,35.0
1989,178.5,312.0,158.4,183.8,832.7,17.1,45.7,-6.3,15.2,19.8
1990,176.5,167.0,240.5,133.4,717.4,7.1,-24.3,21.2,-18.3,-4.0
1991,278.0,239.3,167.2,135.5,820.0,69.4,2.5,-9.2,-16.9,10.1
1992,190.9,328.3,207.7,136.9,863.8,15.8,39.4,11.4,-14.7,15.6
1993,139.1,230.8,156.4,126.2,652.4,-15.5,-1.8,-14.9,-22.5,-12.5
1994,167.3,273.6,175.4,88.9,705.2,2.7,17.5,-4.1,-44.9,-4.7
1995,137.7,243.6,203.1,137.7,722.2,-15.5,4.4,10.7,-14.2,-2.5
1996,233.8,198.8,239.0,203.9,875.5,44.2,-15.2,29.0,27.4,18.0
1997,138.1,229.7,181.2,179.7,728.7,-15.4,-0.8,-1.1,12.1,-1.3
1998,173.9,230.9,219.9,238.7,863.4,7.9,0.4,28.5,49.0,19.5
1999,148.5,214.8,147.3,118.2,628.8,-8.7,-6.6,-18.5,-25.6,-14.1
2000,202.4,169.7,295.5,133.8,801.3,24.5,-26.2,63.4,-15.9,9.4
2001,162.2,159.8,164.8,172.6,659.4,-0.2,-30.6,-8.9,8.7,-10.0
2002,151.7,95.8,182.0,77.2,506.7,-8.0,-59.0,-5.1,-51.8,-32.5
2003,141.9,227.3,196.0,82.8,648.0,-11.5,0.0,6.2,-48.2,-11.5
2004,143.0,177.6,134.6,162.1,617.4,-9.9,-21.1,-26.2,1.1,-15.0
2005,141.9,286.0,155.8,223.3,807.0,-9.9,27.9,-14.3,39.4,11.6
2006,158.1,153.9,176.4,196.1,684.5,0.4,-31.2,-2.9,22.5,-5.3
2007,242.5,205.6,223.1,231.0,902.1,54.0,-8.0,22.8,44.3,24.8
2008,135.6,170.8,238.5,147.7,692.6,-13.9,-23.6,31.3,-7.8,-4.2
2009,106.5,216.1,161.0,198.5,682.2,-32.3,-3.3,-11.4,24.0,-5.6
2010,163.5,277.9,229.7,177.0,848.1,3.6,24.0,26.6,11.0,17.3
2011,156.8,213.1,219.0,124.3,713.1,-1.3,-2.9,21.2,-20.6,-0.3
2012,113.0,178.7,207.3,145.0,643.9,-28.8,-18.6,14.7,-7.5,-10.0
2013,206.1,274.6,164.9,180.1,825.6,29.8,25.1,-8.7,14.9,15.4
2014,100.1,199.4,229.1,136.7,665.3,-36.9,-9.1,26.8,-12.8,-7.0
2015,187.6,110.2,146.2,161.0,605.1,18.1,-49.9,-19.1,2.8,-15.5
2016,199.1,193.3,108.7,159.2,660.2,25.3,-12.1,-39.8,1.7,-7.8
